time,linear_x,angular_z
1778486561166368938,0.10999999999999999,0.0
1778486561267042411,0.10999999999999999,0.0
1778486561367627734,0.10999999999999999,0.0
1778486561468309585,0.10999999999999999,0.0
1778486561568986970,0.10999999999999999,0.0
1778486561669636133,0.10999999999999999,0.0
1778486561770191465,0.10999999999999999,0.0
1778486561871024852,0.10999999999999999,0.0
1778486561971627285,0.10999999999999999,0.0
1778486562042549274,0.10999999999999999,-0.05
1778486562143259668,0.10999999999999999,-0.1
1778486562243857273,0.10999999999999999,-0.1
1778486562344576784,0.10999999999999999,-0.1
1778486562445316641,0.10999999999999999,-0.1
1778486562545870535,0.10999999999999999,-0.1
1778486562646579992,0.10999999999999999,-0.1
1778486562747109625,0.10999999999999999,-0.1
1778486562847806718,0.10999999999999999,-0.1
1778486562948431011,0.10999999999999999,-0.1
1778486563048876167,0.10999999999999999,-0.1
1778486563149504045,0.10999999999999999,-0.1
1778486563250065144,0.10999999999999999,-0.1
1778486563350689832,0.10999999999999999,-0.1
1778486563451396175,0.10999999999999999,-0.1
1778486563551859132,0.10999999999999999,-0.1
1778486563652485358,0.10999999999999999,-0.1
1778486563753175319,0.10999999999999999,-0.1
1778486563854243604,0.10999999999999999,-0.1
1778486563954502088,0.10999999999999999,-0.1
1778486564054876413,0.10999999999999999,-0.1
1778486564155209145,0.10999999999999999,-0.1
1778486564255528370,0.10999999999999999,-0.1
1778486564356510764,0.10999999999999999,-0.1
1778486564457146604,0.10999999999999999,-0.1
1778486564557846975,0.10999999999999999,-0.1
1778486564658510901,0.10999999999999999,-0.1
1778486564759153408,0.10999999999999999,-0.1
1778486564859885128,0.10999999999999999,-0.1
1778486564960506235,0.10999999999999999,-0.1
1778486565061003402,0.10999999999999999,-0.1
1778486565162002316,0.10999999999999999,-0.1
1778486565262668291,0.10999999999999999,-0.1
1778486565363292143,0.10999999999999999,-0.1
1778486565464052877,0.10999999999999999,-0.1
1778486565564582175,0.10999999999999999,-0.1
1778486565665233183,0.10999999999999999,-0.1
1778486565765980474,0.10999999999999999,-0.1
1778486565866650378,0.10999999999999999,-0.1
1778486565966900521,0.10999999999999999,-0.1
1778486566067659526,0.10999999999999999,-0.1
1778486566168339691,0.10999999999999999,-0.1
1778486566269042254,0.10999999999999999,-0.1
1778486566369640124,0.10999999999999999,-0.1
1778486566470246942,0.10999999999999999,-0.1
1778486566570820870,0.10999999999999999,-0.1
1778486566671530152,0.10999999999999999,-0.1
1778486566772050604,0.10999999999999999,-0.1
1778486566872656857,0.10999999999999999,-0.1
1778486566973264147,0.10999999999999999,-0.1
1778486567074098200,0.10999999999999999,-0.1
1778486567174723089,0.10999999999999999,-0.1
1778486567275454370,0.10999999999999999,-0.1
1778486567375745902,0.10999999999999999,-0.1
1778486567476541248,0.10999999999999999,-0.1
1778486567577131286,0.10999999999999999,-0.1
1778486567677841794,0.10999999999999999,-0.1
1778486567778512169,0.10999999999999999,-0.1
1778486567879199571,0.10999999999999999,-0.1
1778486567979410645,0.10999999999999999,-0.1
1778486568080090356,0.10999999999999999,-0.1
1778486568180737670,0.10999999999999999,-0.1
1778486568281332176,0.10999999999999999,-0.1
1778486568382136447,0.10999999999999999,-0.1
1778486568482686500,0.10999999999999999,-0.1
1778486568583334400,0.10999999999999999,-0.1
1778486568684024733,0.10999999999999999,-0.1
1778486568784690419,0.10999999999999999,-0.1
1778486568885027584,0.10999999999999999,-0.1
1778486568985790768,0.10999999999999999,-0.1
1778486569086469534,0.10999999999999999,-0.1
1778486569187016257,0.10999999999999999,-0.1
1778486569287228235,0.10999999999999999,-0.1
1778486569388041821,0.10999999999999999,-0.1
1778486569488675074,0.10999999999999999,-0.1
1778486569589318827,0.10999999999999999,-0.1
1778486569690092014,0.10999999999999999,-0.1
1778486569790631860,0.10999999999999999,-0.1
1778486569891322303,0.10999999999999999,-0.1
1778486569991495375,0.10999999999999999,-0.1
1778486570091946832,0.10999999999999999,-0.1
1778486570192706660,0.10999999999999999,-0.1
1778486570293365358,0.10999999999999999,-0.1
1778486570393999279,0.10999999999999999,-0.1
1778486570398335294,0.10999999999999999,-0.05
1778486570498762884,0.10999999999999999,0.0
1778486570599419478,0.10999999999999999,0.0
1778486570699955516,0.10999999999999999,0.0
1778486570800550198,0.10999999999999999,0.0
1778486570901300192,0.10999999999999999,0.0
1778486571001532795,0.10999999999999999,0.0
1778486571102256017,0.10999999999999999,0.0
1778486571202738220,0.10999999999999999,0.0
1778486571303426619,0.10999999999999999,0.0
1778486571404034572,0.10999999999999999,0.0
1778486571504229451,0.10999999999999999,0.0
1778486571604708682,0.10999999999999999,0.0
1778486571705564159,0.10999999999999999,0.0
1778486571806282669,0.10999999999999999,0.0
1778486571907083347,0.10999999999999999,0.0
1778486572007347445,0.10999999999999999,0.0
1778486572108083687,0.10999999999999999,0.0
1778486572208688323,0.10999999999999999,0.0
1778486572309335097,0.10999999999999999,0.0
1778486572409974493,0.10999999999999999,0.0
1778486572510640930,0.10999999999999999,0.0
1778486572611318009,0.10999999999999999,0.0
1778486572711955242,0.10999999999999999,0.0
1778486572812760632,0.10999999999999999,0.0
1778486572913390659,0.10999999999999999,0.0
1778486573014102711,0.10999999999999999,0.0
1778486573114798410,0.10999999999999999,0.0
1778486573215660940,0.10999999999999999,0.0
1778486573316143840,0.10999999999999999,0.0
1778486573416752463,0.10999999999999999,0.0
1778486573517382835,0.10999999999999999,0.0
1778486573618191610,0.10999999999999999,0.0
1778486573718156588,0.10999999999999999,0.0
1778486573818981899,0.10999999999999999,0.0
1778486573919678022,0.10999999999999999,0.0
1778486574019974506,0.10999999999999999,0.0
1778486574120208826,0.10999999999999999,0.0
1778486574221142602,0.10999999999999999,0.0
1778486574321818502,0.10999999999999999,0.0
1778486574421943863,0.10999999999999999,0.0
1778486574522742427,0.10999999999999999,0.0
1778486574623026637,0.10999999999999999,0.0
1778486574723818340,0.10999999999999999,0.0
1778486574824415702,0.10999999999999999,0.0
1778486574925197320,0.10999999999999999,0.0
1778486575025686354,0.10999999999999999,0.0
1778486575126402245,0.10999999999999999,0.0
1778486575227138133,0.10999999999999999,0.0
1778486575327832244,0.10999999999999999,0.0
1778486575428649786,0.10999999999999999,0.0
1778486575529078586,0.10999999999999999,0.0
1778486575629740182,0.10999999999999999,0.0
1778486575730534878,0.10999999999999999,0.0
1778486575831147873,0.10999999999999999,0.0
1778486575931760640,0.10999999999999999,0.0
1778486576032363801,0.10999999999999999,0.0
1778486576133074638,0.10999999999999999,0.0
1778486576233609897,0.10999999999999999,0.0
1778486576234094272,0.10999999999999999,-0.05
1778486576334874328,0.10999999999999999,-0.1
1778486576435017600,0.10999999999999999,-0.1
1778486576535824283,0.10999999999999999,-0.1
1778486576636479214,0.10999999999999999,-0.1
